dataset_id,model_id,according accuracy
26,654,0.9014
51,339,0.929
65,718,0.884
26,771,0.8326
26,521,0.9125
28,567,0.993
26,398,0.4477
31,278,0.8667
18,987,0.926
18,283,0.924
18,633,0.934
26,944,0.6534
18,973,0.9255
14,733,0.9468
31,559,0.8767
18,85,0.936
14,508,0.9184
18,664,0.9235
18,254,0.9265
18,813,0.9215
18,96,0.9365
31,671,0.8767
37,699,0.9014
14,648,0.939
10,236,0.549
26,445,0.5779
20,299,0.929
18,625,0.925
18,850,0.9315
41,959,0.836
18,988,0.923
18,344,0.9205
26,895,0.8456
26,423,0.4982
18,248,0.938
18,730,0.9325
26,373,0.3803
26,415,0.5576
64,977,0.736
0,686,0.939
18,915,0.919
18,724,0.921
58,163,0.73
18,685,0.927
18,789,0.927
31,486,0.9307
31,287,0.9302
14,250,0.9171
18,752,0.925
31,843,0.8733
14,176,0.9174
18,280,0.928
10,226,0.503
14,161,0.9184
10,235,0.51
26,164,0.8968
4,601,0.84
18,856,0.923
18,931,0.9245
31,795,0.9319
64,792,0.616
46,542,0.839
18,103,0.926
26,359,0.6838
20,298,0.933
18,110,0.924
39,873,0.872
58,207,0.844
26,455,0.1268
52,89,0.728
26,126,0.7132
11,220,0.892
14,262,0.9158
14,507,0.9432
14,743,0.9468
14,992,0.9174
31,731,0.925
14,611,0.9768
14,144,0.9184
14,834,0.95
26,529,0.7978
26,694,0.8746
14,160,0.9458
18,308,0.937
26,75,0.8578
7,767,0.922
26,424,0.8635
16,581,0.8689
50,94,0.918
4,823,0.932
18,494,0.926
31,635,0.86
26,522,0.91
18,966,0.9235
18,497,0.926
18,157,0.92
31,806,0.916
26,520,0.8578
26,429,0.6099
26,128,0.507
14,738,0.9319
18,892,0.925
26,438,0.1268
26,367,0.8945
26,765,0.9197
4,700,0.583
26,419,0.654
18,350,0.923
31,538,0.8667
18,762,0.925
18,993,0.924
18,634,0.9215
18,627,0.922
26,139,0.5634
18,554,0.9255
26,380,0.5946
18,863,0.929
18,882,0.939
26,403,0.8005
8,193,0.607
64,323,0.781
26,389,0.8026
26,689,0.7862
31,840,0.9074
18,680,0.9425
18,115,0.921
18,573,0.924
18,822,0.9255
64,952,0.559
26,189,0.5092
26,362,0.7675
18,798,0.8945
26,99,0.9014
18,879,0.929
26,354,0.9099
18,594,0.9245
14,242,0.9184
18,937,0.924
18,963,0.925
55,472,0.772
31,596,0.923
26,355,0.9084
14,612,0.9765
18,954,0.9225
18,154,0.9275
26,479,0.6462
26,129,0.7917
64,315,0.586
31,647,0.9
26,569,0.8284
18,258,0.936
26,133,0.8456
58,204,0.46
65,719,0.911
58,230,0.458
18,986,0.924
14,348,0.9155
18,458,0.9415
46,772,0.82
18,305,0.9255
14,918,0.9394
6,152,0.818
26,430,0.6007
26,405,0.1268
14,876,0.9177
4,335,0.917
18,324,0.923
26,436,0.7936
16,582,0.8691
9,818,0.814
31,807,0.89
31,338,0.8767
18,821,0.9255
49,777,0.84
56,714,0.851
18,88,0.937
61,788,0.826
26,692,0.9232
26,413,0.9902
37,701,0.8796
26,409,0.656
64,511,0.43
8,195,0.624
31,600,0.9303
18,588,0.9245
31,619,0.8767
26,382,0.6353
14,336,0.931
18,536,0.9225
58,224,0.858
26,408,0.5634
26,476,0.9141
4,758,0.765
18,67,0.9275
18,983,0.921
14,548,0.9181
18,894,0.925
31,748,0.8733
14,266,0.9306
29,162,0.629
18,461,0.9245
18,563,0.929
18,341,0.9165
31,996,0.8733
26,109,0.9037
26,684,0.9014
64,723,0.562
18,351,0.9185
14,734,0.9332
18,73,0.8885
18,279,0.9205
18,246,0.9245
26,943,0.8981
18,848,0.923
18,203,0.9215
46,961,0.841
35,924,0.833
26,443,0.9926
26,947,0.9154
26,388,0.5702
31,887,0.8733
2,101,0.8
18,729,0.9245
26,902,0.9255
26,240,0.9014
31,174,0.8767
31,923,0.88
26,364,0.8439
26,441,0.9877
18,981,0.922
31,641,0.86
26,942,0.9087
18,979,0.9235
51,340,0.933
18,572,0.9385
31,628,0.8667
64,783,0.96
26,901,0.8634
64,468,0.205
26,933,0.8627
26,946,0.8657
18,488,0.924
18,811,0.9215
14,256,0.9468
31,270,0.87
18,827,0.922
31,537,0.86
26,379,0.6208
26,519,0.8501
26,447,0.4621
31,314,0.928
26,440,0.1549
27,544,0.589
26,815,0.8676
4,816,0.581
18,786,0.925
18,883,0.936
26,926,0.8549
18,969,0.923
18,710,0.9215
31,329,0.8733
14,828,0.9448
26,501,0.8529
18,566,0.919
18,553,0.9305
18,725,0.925
18,332,0.9385
18,464,0.92
47,604,0.908
14,835,0.9184
26,313,0.906
18,623,0.9225
18,185,0.929
14,615,0.9739
26,166,0.9033
14,257,0.9161
18,286,0.922
14,70,0.9465
26,140,0.6895
26,899,0.886
14,622,0.9161
26,404,0.0845
18,247,0.9245
14,343,0.9187
18,831,0.9265
18,487,0.924
14,824,0.9458
26,376,0.8853
18,764,0.9215
30,493,0.688
31,929,0.8733
14,173,0.9148
31,980,0.8733
31,753,0.8633
31,668,0.8767
55,477,0.79
18,643,0.934
18,636,0.9265
18,632,0.892
18,120,0.9165
41,264,0.908
18,158,0.934
26,971,0.8505
14,490,0.9135
31,306,0.8767
46,773,0.867
11,228,0.876
26,358,0.4648
18,589,0.9225
26,414,0.6072
18,750,0.9265
18,156,0.922
31,670,0.9267
18,770,0.9185
18,889,0.9245
18,995,0.9365
26,135,0.6173
14,71,0.9174
18,311,0.937
18,652,0.9315
54,291,0.989
15,532,0.976
26,951,0.8456
18,845,0.9305
26,399,0.7775
26,498,0.8775
31,328,0.909
4,333,0.932
26,528,0.9153
26,366,0.6282
18,920,0.927
32,168,0.93
18,663,0.9245
26,858,0.8554
64,978,0.205
64,869,0.671
18,192,0.925
31,956,0.86
18,145,0.926
49,774,0.853
18,880,0.9245
7,609,0.924
26,945,0.914
18,334,0.9245
26,384,0.6
31,331,0.87
14,897,0.8532
26,426,0.1268
18,276,0.9265
