dataset,model,balance_accuracy,rate
1,379,0.998929336,100
1,104,0.998572448,100
1,378,0.99821556,100
1,382,0.997144897,100
1,105,0.996788009,100
1,376,0.996788009,100
1,380,0.996431121,100
1,103,0.996074233,100
1,375,0.996074233,100
1,100,0.995360457,100
1,106,0.995003569,100
1,107,0.995003569,100
1,381,0.994646681,99
1,101,0.994289793,99
1,113,0.992862241,99
1,390,0.992148465,99
1,392,0.991791577,99
1,377,0.990720914,99
1,394,0.990007138,99
1,102,0.98965025,99
1,395,0.989293362,99
1,115,0.987508922,99
1,117,0.982869379,98
1,120,0.980728051,98
1,119,0.975374732,98
1,388,0.974304069,97
1,1645,0.947894361,95
1,1370,0.947180585,95
1,445,0.937901499,94
1,1369,0.913276231,91
1,444,0.895788722,90
1,1644,0.86509636,87
1,385,0.813704497,81
1,374,0.807280514,81
1,372,0.799428979,80
1,386,0.76302641,76
1,373,0.762312634,76
1,110,0.756245539,76
1,99,0.755531763,76
1,98,0.748037116,75
1,1627,0.736259814,74
1,111,0.727337616,73
1,396,0.706995004,71
10,1227,0.950661241,95
10,327,0.920651068,92
10,732,0.871312309,87
10,345,0.856561546,86
10,1245,0.856052899,86
10,344,0.845879959,85
10,1244,0.837741607,84
10,740,0.833672431,83
10,730,0.81180061,81
10,729,0.789928789,79
10,727,0.757884028,76
10,742,0.756358087,76
10,725,0.746185148,75
10,745,0.745676501,75
10,731,0.739572737,74
10,1231,0.733468973,73
10,738,0.723296033,72
10,728,0.707527976,71
15,466,0.970684039,97
15,449,0.964169381,96
15,459,0.956026059,96
15,448,0.95276873,95
15,471,0.95276873,95
15,460,0.949511401,95
15,461,0.947882736,95
15,462,0.942996743,94
15,458,0.938110749,94
15,468,0.938110749,94
15,447,0.931596091,93
15,464,0.929967427,93
15,469,0.928338762,93
15,470,0.908794788,91
15,467,0.794788274,79
15,465,0.776872964,78
15,463,0.7752443,78
15,936,0.762214984,76
15,192,0.747557003,75
15,188,0.741042345,74
15,922,0.728013029,73
15,935,0.700325733,70
17,1377,0.995504841,100
17,1386,0.991355463,99
17,1385,0.98824343,99
17,1395,0.983056708,98
17,1394,0.980636238,98
17,1376,0.978907331,98
17,1381,0.978907331,98
17,1378,0.977178423,98
17,1390,0.976141079,98
17,1382,0.97406639,97
17,1380,0.973720609,97
17,1392,0.971991701,97
17,1375,0.970954357,97
17,1379,0.968188105,97
17,1388,0.967150761,97
17,1374,0.934301521,93
17,1372,0.93153527,93
17,1387,0.926694329,93
17,1384,0.925311203,93
17,1396,0.883471646,88
17,1373,0.782157676,78
32,889,0.926168092,93
32,885,0.923342441,92
32,874,0.911984229,91
32,124,0.911541295,91
32,893,0.905209009,91
32,136,0.90388069,90
32,896,0.903441531,90
32,886,0.902065822,90
32,873,0.900705039,90
32,143,0.898462597,90
32,773,0.894472147,89
32,891,0.892886681,89
32,122,0.892595575,89
32,883,0.889212393,89
32,872,0.88841991,89
32,135,0.88732791,89
32,141,0.884183164,88
32,139,0.881458987,88
32,774,0.879860107,88
32,146,0.878776262,88
32,793,0.873608508,87
32,137,0.873604317,87
32,786,0.867161508,87
32,123,0.864970241,86
32,884,0.862720077,86
32,789,0.861593845,86
32,785,0.85524705,86
32,133,0.854767854,85
32,772,0.853900474,85
32,796,0.852066461,85
32,887,0.849965626,85
32,134,0.848400542,85
32,783,0.842209507,84
32,784,0.840659918,84
32,791,0.836228999,84
32,787,0.835792028,84
32,144,0.770258367,77
32,894,0.753996183,75
32,145,0.738534281,74
32,895,0.738446402,74
35,577,0.987804878,99
35,1576,0.981707317,98
35,1578,0.981707317,98
35,1579,0.981707317,98
35,1575,0.975609756,98
35,1577,0.969512195,97
35,1590,0.963414634,96
35,1581,0.961707317,96
35,1580,0.955609756,96
35,1588,0.955609756,96
35,1595,0.955609756,96
35,1582,0.937317073,94
35,1594,0.935609756,94
35,1574,0.85804878,86
35,1592,0.847804878,85
35,1573,0.795365854,80
35,1572,0.754390244,75
35,595,0.747804878,75
35,1585,0.737317073,74
35,956,0.720731707,72
35,594,0.713902439,71
47,1451,0.93104723,93
47,1454,0.927948794,93
47,1251,0.927829745,93
47,1455,0.925213791,93
47,1453,0.924842827,92
47,1254,0.924779574,92
47,1253,0.924765213,92
47,1450,0.9238678,92
47,1255,0.923340641,92
47,1465,0.922084452,92
47,1457,0.921393157,92
47,1250,0.921266906,92
47,1257,0.920739182,92
47,1263,0.918888928,92
47,1265,0.91811476,92
47,1256,0.915783203,92
47,1456,0.915233212,92
47,1467,0.914742197,91
47,1463,0.913451183,91
47,1452,0.907210613,91
47,1267,0.903237577,90
47,1252,0.89705022,90
47,1470,0.88841296,89
47,1270,0.8867093,89
47,1269,0.886396029,89
47,1469,0.878385308,88
47,1460,0.80043098,80
47,1448,0.798913128,80
47,1248,0.79214292,79
47,1260,0.791529764,79
47,1249,0.787609232,79
47,1461,0.783090104,78
47,1261,0.782598203,78
47,1449,0.782316019,78
47,1247,0.759410782,76
47,1447,0.742058117,74
61,1190,0.958491957,96
61,1188,0.956758039,96
61,1178,0.953578191,95
61,1195,0.953332706,95
61,1180,0.952548794,95
61,1181,0.951516146,95
61,1173,0.944824257,94
61,1182,0.942875086,94
61,1192,0.941236893,94
61,1179,0.940325324,94
61,1176,0.934627646,93
61,1193,0.928353103,93
61,1194,0.925925233,93
61,1172,0.925197796,93
61,1175,0.924543982,92
61,1602,0.919724389,92
61,1185,0.913300826,91
61,1177,0.907266816,91
61,1196,0.904231923,90
61,1186,0.89231359,89
61,1184,0.884860705,88
61,1183,0.863819508,86
61,1174,0.836034753,84
61,1191,0.800519843,80
61,1187,0.77379723,77
62,379,0.994561797,99
62,378,0.993573166,99
62,381,0.991103787,99
62,380,0.990609227,99
62,104,0.990113201,99
62,105,0.990112224,99
62,376,0.990110758,99
62,107,0.989620108,99
62,106,0.98961913,99
62,101,0.989618642,99
62,100,0.989127503,99
62,103,0.989123104,99
62,375,0.989123104,99
62,382,0.987643823,99
62,377,0.98368881,98
62,390,0.982206597,98
62,115,0.980231778,98
62,113,0.979735264,98
62,392,0.978741746,98
62,117,0.974786733,97
62,395,0.974299504,97
62,102,0.974299015,97
62,394,0.970833187,97
62,119,0.967867294,97
62,120,0.964419547,96
62,388,0.961426287,96
62,1370,0.948570663,95
62,1645,0.945107767,95
62,445,0.935217059,94
62,1369,0.912957957,91
62,444,0.890209181,89
62,1644,0.864491092,86
62,385,0.779058812,78
62,372,0.776555713,78
62,374,0.770197785,77
62,386,0.757265925,76
62,373,0.748354562,75
62,98,0.714315455,71
62,110,0.713722667,71
62,111,0.709408952,71
62,1627,0.708297659,71
62,99,0.700506875,70
67,232,0.991050747,99
67,230,0.989325733,99
67,226,0.988165692,99
67,229,0.987075879,99
67,238,0.984966484,98
67,227,0.984936386,98
67,240,0.982696564,98
67,228,0.980225989,98
67,231,0.979136176,98
67,225,0.977966102,98
67,245,0.976501941,98
67,244,0.972881356,97
67,242,0.940621532,94
67,235,0.940290449,94
67,239,0.931544988,93
67,224,0.927647247,93
67,246,0.924561536,92
67,241,0.92454147,92
67,236,0.923167604,92
67,243,0.915378393,92
67,223,0.898710159,90
67,234,0.880333214,88
67,237,0.877906532,88
67,222,0.857895496,86
67,233,0.773046092,77
67,1750,0.732163886,73
67,539,0.712240637,71
