dataset,predict_balance_accuracy,groundtruth_balance_accuracy,model
1,0.972267985,0.672733762,97
1,0.971169687,0.748037116,98
1,0.977210324,0.755531763,99
1,0.998352554,0.995360457,100
1,0.999176277,0.994289793,101
1,0.920651068,0.98965025,102
1,0.999725426,0.996074233,103
1,0.998901702,0.998572448,104
1,0.997803405,0.996788009,105
1,0.998901702,0.995003569,106
1,0.999176277,0.995003569,107
1,,0.564239829,108
1,0.921746293,0.584939329,109
1,0.982152663,0.756245539,110
1,0.984349259,0.727337616,111
1,0.92778693,0.593147752,112
1,0.998627128,0.992862241,113
1,0.95579352,0.559957173,114
1,0.999450851,0.987508922,115
1,0.938495332,0.575660243,116
1,0.997803405,0.982869379,117
1,0.961010434,0.578158458,118
1,0.995606809,0.975374732,119
1,0.99752883,0.980728051,120
1,0.958813839,0.584582441,121
1,0.972267985,0.499286224,247
1,0.971169687,0.5,248
1,0.977210324,0.499643112,249
1,0.998352554,0.41184868,250
1,0.999176277,0.514989293,251
1,0.920651068,0.44468237,252
1,0.999725426,0.447537473,253
1,0.998901702,0.553890079,254
1,0.997803405,0.546395432,255
1,0.998901702,0.526766595,256
1,0.999176277,0.44111349,257
1,,0.5,258
1,0.921746293,0.5,259
1,0.982152663,0.5,260
1,0.984349259,0.5,261
1,0.92778693,0.500713776,262
1,0.998627128,0.5,263
1,0.95579352,0.5,264
1,0.999450851,0.499643112,265
1,0.938495332,0.504282655,266
1,0.997803405,0.500713776,267
1,0.961010434,0.493219129,268
1,0.995606809,0.151677373,269
1,0.99752883,0.066738044,270
1,0.958813839,0.5,271
1,0.972267985,0.506067095,297
1,0.971169687,0.502855103,298
1,0.924037461,0.502141328,299
1,0.993756504,0.504639543,300
1,0.986472425,0.517844397,301
1,0.920651068,0.520342612,302
1,0.993756504,0.461099215,303
1,0.991675338,0.575303355,304
1,0.968782518,0.620985011,305
1,0.987513007,0.387937188,306
1,0.976066597,0.428265525,307
1,,0.5,308
1,0.921746293,0.454675232,309
1,0.982152663,0.480014276,310
1,0.984349259,0.501427552,311
1,0.92778693,0.509279086,312
1,0.987513007,0.5,313
1,0.95579352,0.57958601,314
1,0.985431842,0.413276231,315
1,0.938495332,0.5,316
1,0.995837669,0.5,317
1,0.961010434,0.529978587,318
1,0.964620187,0.453961456,319
1,0.970863684,0.429693076,320
1,0.958813839,0.510706638,321
1,,0.799428979,372
1,,0.762312634,373
1,0.924037461,0.807280514,374
1,0.993756504,0.996074233,375
1,0.986472425,0.996788009,376
1,0.920651068,0.990720914,377
1,0.993756504,0.99821556,378
1,0.991675338,0.998929336,379
1,0.968782518,0.996431121,380
1,0.987513007,0.994646681,381
1,0.976066597,0.997144897,382
1,,0.536759458,383
1,,0.658815132,384
1,,0.813704497,385
1,,0.76302641,386
1,,0.625624554,387
1,0.987513007,0.974304069,388
1,,0.630264097,389
1,0.985431842,0.992148465,390
1,,0.606709493,391
1,0.995837669,0.991791577,392
1,,0.606352605,393
1,0.964620187,0.990007138,394
1,0.970863684,0.989293362,395
1,,0.706995004,396
1,,0.5,422
1,,0.518915061,423
1,0.924037461,0.563169165,424
1,0.993756504,0.284796574,425
1,0.986472425,0.459314775,426
1,0.920651068,0.518558173,427
1,0.993756504,0.507137759,428
1,0.991675338,0.574232691,429
1,0.968782518,0.513204854,430
1,0.987513007,0.476445396,431
1,0.976066597,0.349036403,432
1,,0.5,433
1,,0.526052819,434
1,,0.517130621,435
1,,0.528194147,436
1,0.92778693,0.502141328,437
1,0.987513007,0.525695931,438
1,,0.5,439
1,0.985431842,0.267309065,440
1,,0.5,441
1,0.995837669,0.5,442
1,,0.528551035,443
1,0.964620187,0.895788722,444
1,0.970863684,0.937901499,445
1,,0.520342612,446
1,0.988333333,0.481798715,1022
1,1.0,0.48786581,1023
1,1.0,0.452177016,1024
1,1.0,0.394361171,1025
1,1.0,0.414346895,1026
1,1.0,0.431120628,1027
1,1.0,0.307637402,1028
1,1.0,0.374018558,1029
1,1.0,0.653818701,1030
1,1.0,0.501070664,1031
1,1.0,0.459671663,1032
1,,0.5,1033
1,0.996666667,0.444325482,1034
1,1.0,0.483940043,1035
1,1.0,0.513204854,1036
1,,0.427551749,1037
1,1.0,0.461099215,1038
1,0.998333333,0.41862955,1039
1,1.0,0.488579586,1040
1,0.953333333,0.467880086,1041
1,1.0,0.496431121,1042
1,0.933333333,0.438972163,1043
1,1.0,0.484296931,1044
1,1.0,0.46538187,1045
1,0.995,0.44111349,1046
1,0.918209036,0.500356888,1347
1,0.919161677,0.500713776,1348
1,0.948829614,0.578515346,1349
1,0.992787153,0.488222698,1350
1,0.993603702,0.417915774,1351
