model,dataset,predict_balance_accuracy,groundtruth_balance_accuracy
97,1,0.556521739,0.672733762
98,1,0.513043478,0.748037116
99,1,0.55,0.755531763
100,1,0.5,0.995360457
101,1,0.5,0.994289793
102,1,0.5,0.98965025
103,1,0.5,0.996074233
104,1,0.5,0.998572448
105,1,0.5,0.996788009
106,1,0.5,0.995003569
107,1,0.5,0.995003569
108,1,0.539130435,0.564239829
109,1,0.55,0.584939329
110,1,0.615217391,0.756245539
111,1,0.595652174,0.727337616
112,1,0.41299079,0.593147752
113,1,0.539130435,0.992862241
114,1,0.558695652,0.559957173
115,1,0.554347826,0.987508922
116,1,0.656521739,0.575660243
117,1,0.530434783,0.982869379
118,1,0.541304348,0.578158458
119,1,0.576086957,0.975374732
120,1,0.584782609,0.980728051
121,1,0.57173913,0.584582441
247,1,0.506059137,0.499286224
248,1,0.46291808,0.5
249,1,0.5,0.499643112
250,1,0.525933107,0.41184868
251,1,0.516238488,0.514989293
252,1,0.496364518,0.44468237
253,1,0.518662143,0.447537473
254,1,0.51720795,0.553890079
255,1,0.518662143,0.546395432
256,1,0.517692681,0.526766595
257,1,0.519146873,0.44111349
258,1,0.500869565,0.5
259,1,0.409597673,0.5
260,1,0.509452254,0.5
261,1,0.430441105,0.5
262,1,0.587493941,0.500713776
263,1,0.519146873,0.5
264,1,0.425109064,0.5
265,1,0.520601066,0.499643112
266,1,0.469704314,0.504282655
267,1,0.519146873,0.500713776
268,1,0.430441105,0.493219129
269,1,0.517692681,0.151677373
270,1,0.518662143,0.066738044
271,1,0.473582162,0.5
297,1,0.511875909,0.506067095
298,1,0.480853127,0.502855103
299,1,0.507998061,0.502141328
300,1,0.51720795,0.504639543
301,1,0.521085797,0.517844397
302,1,0.920651068,0.520342612
303,1,0.476490548,0.461099215
304,1,0.715,0.575303355
305,1,0.527872031,0.620985011
306,1,0.559864275,0.387937188
307,1,0.444013572,0.428265525
308,1,0.5,0.5
309,1,0.480853127,0.454675232
310,1,0.660203587,0.480014276
