model,groundtruth_balanced_accuracy,dataset,balanced_accuracy
97,0.672733762,1,0.6016619333333333
98,0.748037116,1,0.5838855576666666
99,0.755531763,1,0.628905017
100,0.995360457,1,0.515935626
101,0.994289793,1,0.5571684020000001
102,0.98965025,1,0.5772588616666666
103,0.996074233,1,0.5834648153333334
104,0.998572448,1,0.598716735
105,0.996788009,1,0.5301356893333334
106,0.995003569,1,0.5346586723333333
107,0.995003569,1,0.5758147496666667
108,0.564239829,1,0.613863469
109,0.584939329,1,0.5485380643333334
110,0.756245539,1,0.5471449186666667
111,0.727337616,1,0.5255075206666667
112,0.593147752,1,0.58988114
113,0.992862241,1,0.5970337646666667
114,0.559957173,1,0.6237159576666667
115,0.987508922,1,0.586515199
116,0.575660243,1,0.6073419583333333
117,0.982869379,1,0.5705269796666667
118,0.578158458,1,0.5942989373333333
119,0.975374732,1,0.5768381193333333
120,0.980728051,1,0.5843063003333334
121,0.584582441,1,0.5594824863333333
247,0.499286224,1,0.5986875003333333
248,0.5,1,0.5731470666666666
249,0.499643112,1,0.5999789626666666
250,0.41184868,1,0.562514377
251,0.514989293,1,0.5675912773333333
252,0.44468237,1,0.595350794
253,0.447537473,1,0.5915641106666666
254,0.553890079,1,0.5627023573333333
255,0.546395432,1,0.5446836946666667
256,0.526766595,1,0.5346586723333333
257,0.44111349,1,0.5758147496666667
258,0.5,1,0.6106027136666666
259,0.5,1,0.5637950979999999
260,0.5,1,0.7014831176666666
261,0.5,1,0.551268451
262,0.500713776,1,0.57052698
263,0.5,1,0.608709372
264,0.5,1,0.6066056586666667
265,0.499643112,1,0.55117282
266,0.504282655,1,0.5921952243333334
267,0.500713776,1,0.5624276846666667
268,0.493219129,1,0.5625328703333333
269,0.151677373,1,0.5853581569999999
270,0.066738044,1,0.5970337646666667
271,0.5,1,0.5130956136666667
297,0.506067095,1,0.5972441356666666
298,0.502855103,1,0.5889344693333334
299,0.502141328,1,0.602293047
300,0.504639543,1,0.515935626
301,0.517844397,1,0.511885407
302,0.520342612,1,0.6489954769999999
303,0.461099215,1,0.5915641106666666
304,0.575303355,1,0.5627023573333333
305,0.620985011,1,0.5029977906666666
306,0.387937188,1,0.5346586723333333
307,0.428265525,1,0.5758147496666667
308,0.5,1,0.597600838
309,0.454675232,1,0.612601241
310,0.480014276,1,0.6317113113333334
311,0.501427552,1,0.6007152623333334
312,0.509279086,1,0.5490024463333333
313,0.5,1,0.564741769
314,0.57958601,1,0.5986875003333333
315,0.413276231,1,0.55117282
316,0.5,1,0.5256127063333332
317,0.5,1,0.6119701270000001
318,0.529978587,1,0.575996634
319,0.453961456,1,0.6466813923333333
320,0.429693076,1,0.6779215313333333
321,0.510706638,1,0.6446479026666667
372,0.799428979,1,0.5962974646666667
373,0.762312634,1,0.537814242
374,0.807280514,1,0.5892500263333333
375,0.996074233,1,0.515935626
376,0.996788009,1,0.5571684020000001
377,0.990720914,1,0.5790470176666668
378,0.99821556,1,0.5834648153333334
379,0.998929336,1,0.6089197433333333
380,0.996431121,1,0.5301356893333334
381,0.994646681,1,0.5346586723333333
382,0.997144897,1,0.5758147496666667
383,0.536759458,1,0.613863469
384,0.658815132,1,0.5267697483333333
385,0.813704497,1,0.6066056586666667
386,0.76302641,1,0.5697906806666667
387,0.625624554,1,0.5698958660000001
388,0.974304069,1,0.5515935623333333
389,0.630264097,1,0.5660039966666667
390,0.992148465,1,0.5958767223333333
391,0.606709493,1,0.6033449036666666
392,0.991791577,1,0.550752077
393,0.606352605,1,0.594824866
394,0.990007138,1,0.5728410643333333
395,0.989293362,1,0.5843063003333334
396,0.706995004,1,0.5251919636666667
422,0.5,1,0.608709372
423,0.518915061,1,0.5853581569999999
424,0.563169165,1,0.5999789626666666
425,0.284796574,1,0.5176185966666668
426,0.459314775,1,0.5772588616666666
427,0.518558173,1,0.575049963
428,0.507137759,1,0.5915641106666666
429,0.574232691,1,0.5779951613333333
430,0.513204854,1,0.5697906806666667
431,0.476445396,1,0.540233512
432,0.349036403,1,0.6080782583333333
433,0.5,1,0.6087505173333333
434,0.526052819,1,0.62245373
435,0.517130621,1,0.6035203123333334
436,0.528194147,1,0.5737877353333334
437,0.502141328,1,0.5552750603333333
438,0.525695931,1,0.556537288
439,0.5,1,0.55117282
440,0.267309065,1,0.5975596926666666
441,0.5,1,0.612285684
442,0.5,1,0.6119701270000001
443,0.528551035,1,0.6014515623333333
444,0.895788722,1,0.6056589880000001
445,0.937901499,1,0.5994530346666668
446,0.520342612,1,0.5224571366666667
1022,0.481798715,1,0.6068874973333334
1023,0.48786581,1,0.572630693
1024,0.452177016,1,0.6400546963333333
1025,0.394361171,1,0.535079415
1026,0.414346895,1,0.5571684020000001
1027,0.431120628,1,0.585033617
1028,0.307637402,1,0.5908278113333334
1029,0.374018558,1,0.647102135
1030,0.653818701,1,0.5697906806666667
1031,0.501070664,1,0.5346586723333333
1032,0.459671663,1,0.600820448
1033,0.5,1,0.6027137896666667
1034,0.444325482,1,0.5793625746666667
1035,0.483940043,1,0.6062608673333333
1036,0.513204854,1,0.6240315146666666
1037,0.427551749,1,0.4756495213333333
1038,0.461099215,1,0.5379194276666667
1039,0.41862955,1,0.5827285156666666
1040,0.488579586,1,0.57557976
1041,0.467880086,1,0.5945093090000001
1042,0.496431121,1,0.6032104833333333
1043,0.438972163,1,0.4804880613333333
1044,0.484296931,1,0.5728410643333333
1045,0.46538187,1,0.5843063003333334
1046,0.44111349,1,0.5594824863333333
1347,0.500356888,1,0.608709372
1348,0.500713776,1,0.5994530343333333
1349,0.578515346,1,0.5999789626666666
1350,0.488222698,1,0.535079415
1351,0.417915774,1,0.507836331
1352,0.503568879,1,0.34606317766666667
1353,0.429693076,1,0.5915641106666666
1354,0.56923626,1,0.5976648786666666
1355,0.45503212,1,0.5703322443333333
1356,0.502498216,1,0.5545387606666666
1357,0.526766595,1,0.5758147496666667
1358,0.5,1,0.613863469
1359,0.500713776,1,0.6164931103333333
1360,0.529978587,1,0.5669587876666667
1361,0.500713776,1,0.5779951613333334
1362,0.517130621,1,0.543599453
1363,0.462883655,1,0.5622329490000001
1364,0.496431121,1,0.5706321656666667
1365,0.248037116,1,0.5975596926666666
1366,0.498572448,1,0.6033449036666666
1367,0.513204854,1,0.6119701270000001
