model_id,predict_according_accuracy,groundtruth_according_accuracy,dataset_id
318,0.876,0.501,1
527,0.9154,0.508,1
596,0.9161,0.949,1
597,0.906,0.925,1
641,,0.901,1
708,0.9214,0.947,1
772,0.583,0.851,1
795,,0.946,1
841,0.8205,0.905,1
868,0.624,0.883,1
950,0.9358,0.914,1
177,,0.922,3
178,,0.91,3
277,0.888,0.807,3
319,0.8603,0.946,3
368,0.8439,0.498,3
456,0.8383,0.778,3
675,0.583,0.886,3
791,,0.87,3
857,0.8603,0.497,3
978,0.616,0.502,3
197,0.82,0.67,23
469,0.8219,0.831,23
533,0.6,0.871,23
600,0.992,0.071,23
850,0.9171,0.782,23
872,0.992,0.834,23
921,0.819,0.754,23
985,0.8219,0.779,23
995,0.926,0.777,23
997,0.933,0.724,23
319,0.8603,0.954,63
323,0.957,0.952,63
511,0.82,0.533,63
517,0.8326,0.509,63
717,0.616,0.484,63
780,0.96,0.96,63
782,0.96,0.957,63
783,0.96,0.959,63
784,0.96,0.974,63
885,0.616,0.474,63
