(72,0)	[3, 0.940536013, 0.940458505, 0.992234894, 0.942315878, 0.940536013, 0.940550709, 0.888718871, 0.059463987, 0.16560336, 1.473187003]
(73,0)	[3, 0.958961474, 0.958895564, 0.994968188, 0.959118191, 0.958961474, 0.959005295, 0.921984912, 0.041038526, 0.123387327, 1.55377155]
(74,0)	[3, 0.958403127, 0.95831851, 0.99390789, 0.958352116, 0.958403127, 0.95837177, 0.920908532, 0.041596873, 0.129141757, 1.695756271]
(75,0)	[3, 0.999720826, 0.999719652, 0.999998477, 0.99972106, 0.999720826, 0.999720826, 0.999441887, 0.000279174, 0.001498343, 1.343566569]
(76,0)	[3, 0.999441653, 0.999439305, 0.999996953, 0.999442587, 0.999441653, 0.999441652, 0.99888424, 0.000558347, 0.002492136, 1.440995702]
(77,0)	[3, 0.997487437, 0.997482011, 0.999993092, 0.997496479, 0.997487437, 0.997487416, 0.994990493, 0.002512563, 0.010945896, 1.469111323]
(78,0)	[3, 0.999441653, 0.999439305, 0.999993909, 0.999442587, 0.999441653, 0.999441652, 0.99888424, 0.000558347, 0.003016269, 1.605752059]
(79,0)	[3, 0.999720826, 0.999719652, 0.999998713, 0.999721059, 0.999720826, 0.999720826, 0.999441885, 0.000279174, 0.001645873, 1.770153317]
(80,0)	[3, 0.998883305, 0.998881179, 0.999988447, 0.998883534, 0.998883305, 0.998883068, 0.997769177, 0.001116695, 0.003633526, 2.098559335]
(81,0)	[3, 0.999441653, 0.999439305, 0.999994959, 0.999442587, 0.999441653, 0.999441652, 0.99888424, 0.000558347, 0.003019772, 2.3426746]
(82,0)	[3, 0.999162479, 0.999161527, 0.999992981, 0.999162478, 0.999162479, 0.999162361, 0.998326361, 0.000837521, 0.004301549, 2.785571989]
(85,0)	[3, 0.940536013, 0.940437998, 0.993141422, 0.942160962, 0.940536013, 0.940628551, 0.88815299, 0.059463987, 0.167839215, 1.240559226]
(86,0)	[3, 0.960357342, 0.960384246, 0.995923695, 0.961010028, 0.960357342, 0.960448012, 0.924040895, 0.039642658, 0.127485268, 1.26680151]
(87,0)	[3, 0.80094919, 0.800856111, 0.930131871, 0.800844363, 0.80094919, 0.799794135, 0.66772354, 0.19905081, 0.507359482, 1.417101727]
(88,0)	[3, 0.999162479, 0.999160837, 0.999999765, 0.999163181, 0.999162479, 0.999162479, 0.998326597, 0.000837521, 0.002224613, 1.635990084]
(90,0)	[3, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.0, 0.000167719, 1.848093762]
(92,0)	[3, 0.998604132, 0.998606221, 0.999998829, 0.998609977, 0.998604132, 0.998604836, 0.997214109, 0.001395868, 0.004025089, 1.460240847]
(93,0)	[3, 0.822166387, 0.821919826, 0.938979655, 0.822604015, 0.822166387, 0.820782688, 0.697303155, 0.177833613, 2.702162836, 1.430485982]
(94,0)	[3, 0.996649916, 0.996644978, 0.999937506, 0.996655955, 0.996649916, 0.996649668, 0.99332267, 0.003350084, 0.015952335, 1.723668617]
(95,0)	[3, 0.992741485, 0.992736031, 0.999943699, 0.992780718, 0.992741485, 0.992746042, 0.985600232, 0.007258515, 0.025906359, 1.830664711]
(777,2)	[2, 0.818754633, 0.824569598, 0.973329305, 0.859001485, 0.818754633, 0.813189004, 0.696700862, 0.181245367, 0.833310415, 7.486697919]
(877,2)	[2, 0.853224611, 0.854433361, 0.983809669, 0.870716762, 0.853224611, 0.851694109, 0.742766655, 0.146775389, 0.560408308, 6.109764967]
(177,4)	[3, 0.854727614, 0.860338429, 0.95706344, 0.875979911, 0.854727614, 0.853664811, 0.74480317, 0.145272386, 0.371623663, 10.81972146]
(222,6)	[2, 0.972267985, 0.971675088, 0.996908413, 0.973175041, 0.972267985, 0.97223828, 0.945979633, 0.027732015, 0.081517168, 4.972424107]
(223,6)	[2, 0.971169687, 0.971143377, 0.995929788, 0.97116942, 0.971169687, 0.97116948, 0.943955813, 0.028830313, 0.09711101, 4.997141933]
(224,6)	[2, 0.977210324, 0.977159675, 0.997119045, 0.977212308, 0.977210324, 0.977209473, 0.955435332, 0.022789676, 0.064532007, 6.231557007]
(225,6)	[2, 0.998352554, 0.998379821, 0.99999487, 0.998355053, 0.998352554, 0.998352598, 0.996710619, 0.001647446, 0.004524461, 3.510861721]
(226,6)	[2, 0.999176277, 0.999182819, 0.999999396, 0.999176439, 0.999176277, 0.999176283, 0.998353922, 0.000823723, 0.001944386, 3.962778901]
(227,6)	[2, 0.998901702, 0.998915153, 0.99989227, 0.998902336, 0.998901702, 0.998901718, 0.997805847, 0.001098298, 0.007184902, 4.323681392]
(228,6)	[2, 0.999725426, 0.999718151, 0.999998189, 0.999725573, 0.999725426, 0.999725424, 0.999450998, 0.000274574, 0.001380961, 5.008807292]
(229,6)	[2, 0.998901702, 0.998929336, 0.999998189, 0.998904173, 0.998901702, 0.998901732, 0.997805876, 0.001098298, 0.003862339, 6.160044788]
(230,6)	[2, 0.997803405, 0.997759392, 0.999991551, 0.997808627, 0.997803405, 0.997803305, 0.995616248, 0.002196595, 0.005479617, 8.355404897]
(231,6)	[2, 0.998901702, 0.998915153, 0.999993663, 0.998902336, 0.998901702, 0.998901718, 0.997805847, 0.001098298, 0.003275101, 10.43113629]
(232,6)	[2, 0.999176277, 0.999168636, 0.999998793, 0.999176416, 0.999176277, 0.999176271, 0.998353899, 0.000823723, 0.002079411, 13.4630526]
(234,6)	[2, 0.921746293, 0.922296906, 0.978185074, 0.922759913, 0.921746293, 0.921750806, 0.854858855, 0.078253707, 0.382775164, 4.010149308]
(235,6)	[2, 0.982152663, 0.982048577, 0.997969722, 0.982173971, 0.982152663, 0.98215079, 0.964928117, 0.017847337, 0.056203833, 3.015154538]
(236,6)	[2, 0.984349259, 0.984175722, 0.998116682, 0.984421531, 0.984349259, 0.98434608, 0.96917518, 0.015650741, 0.048089763, 3.188391166]
(237,6)	[2, 0.92778693, 0.927178565, 0.977818731, 0.928514679, 0.92778693, 0.927712356, 0.865190328, 0.07221307, 0.203832999, 4.659328796]
(238,6)	[2, 0.998627128, 0.998619121, 0.999990344, 0.998627259, 0.998627128, 0.998627118, 0.997258003, 0.001372872, 0.004386824, 6.018065084]
(239,6)	[2, 0.95579352, 0.956395194, 0.989177333, 0.956938643, 0.95579352, 0.955795003, 0.915332729, 0.04420648, 0.943817316, 5.61551325]
(240,6)	[2, 0.999450851, 0.999464668, 0.999999095, 0.99945147, 0.999450851, 0.999450859, 0.998902321, 0.000549149, 0.001802096, 8.712694646]
(241,6)	[2, 0.938495332, 0.93805721, 0.969418335, 0.938862377, 0.938495332, 0.938456316, 0.884059459, 0.061504668, 1.511562633, 8.518319677]
(242,6)	[2, 0.997803405, 0.997773575, 0.999869336, 0.997805684, 0.997803405, 0.99780334, 0.995616316, 0.002196595, 0.007904203, 4.130797554]
(243,6)	[2, 0.961010434, 0.960516405, 0.993418646, 0.961581751, 0.961010434, 0.960979333, 0.924894775, 0.038989566, 0.481600963, 4.0829835]
(244,6)	[2, 0.995606809, 0.995717345, 0.999889252, 0.995646078, 0.995606809, 0.995607223, 0.991252888, 0.004393191, 0.020944151, 6.309231973]
(245,6)	[2, 0.99752883, 0.997548457, 0.999970125, 0.997530287, 0.99752883, 0.997528881, 0.995069953, 0.00247117, 0.00737676, 6.493826413]
(246,6)	[2, 0.958813839, 0.958885665, 0.992193026, 0.958849142, 0.958813839, 0.958817318, 0.920893946, 0.041186161, 0.215649796, 4.264510378]
(100,7)	[3, 0.989, 0.989, 0.998725, 0.989048905, 0.989, 0.988999725, 0.978238835, 0.011, 0.039326313, 2.011013508]
(101,7)	[3, 0.9905, 0.9905, 0.998717, 0.990504415, 0.9905, 0.990499979, 0.98117876, 0.0095, 0.031056885, 1.679436803]
(102,7)	[3, 0.9775, 0.9775, 0.996522, 0.977580711, 0.9775, 0.977499049, 0.955988441, 0.0225, 0.135554501, 2.114255667]
(103,7)	[3, 0.9915, 0.9915, 0.998846, 0.991504424, 0.9915, 0.991499981, 0.983143245, 0.0085, 0.02646817, 2.726362586]
