dataset_id,model_id,according accuracy
58,221,0.462
59,715,0.946
18,913,0.921
18,603,0.921
18,677,0.9295
18,599,0.902
26,80,0.5493
18,79,0.9335
14,281,0.9742
14,587,0.9174
18,545,0.925
18,660,0.925
26,502,0.875
31,628,0.8667
31,967,0.9361
58,756,0.81
14,288,0.9184
26,354,0.9099
26,520,0.8578
18,279,0.9205
0,686,0.939
26,444,0.5923
26,121,0.911
18,292,0.9245
26,428,0.8505
18,485,0.917
26,926,0.8549
14,463,0.9116
14,865,0.92
18,966,0.9235
26,291,0.911
49,776,0.833
14,550,0.9477
58,163,0.73
16,583,0.828
18,602,0.9265
46,772,0.82
11,219,0.882
18,987,0.926
14,161,0.9184
18,192,0.925
31,807,0.89
18,512,0.9245
14,114,0.9177
26,857,0.8603
14,508,0.9184
18,704,0.923
14,262,0.9158
4,823,0.932
26,99,0.9014
18,332,0.9385
26,122,0.7581
26,771,0.8326
14,173,0.9148
64,315,0.586
14,835,0.9184
14,844,0.9116
1,950,0.914
26,941,0.828
18,606,0.917
11,211,0.868
26,131,0.6643
18,884,0.923
18,891,0.9285
14,876,0.9177
32,168,0.93
18,182,0.9285
18,652,0.9315
18,119,0.9175
58,653,0.716
14,242,0.9184
64,952,0.559
26,423,0.4982
16,580,0.6745
4,675,0.542
26,475,0.8554
14,875,0.9429
26,530,0.9358
10,214,0.537
26,852,0.8219
64,293,0.954
26,240,0.9014
3,857,0.497
26,368,0.5493
26,357,0.9232
26,500,0.8505
31,839,0.9776
55,474,0.709
18,889,0.9245
8,194,0.59
22,198,0.788
41,854,0.822
55,478,0.834
26,425,0.8406
18,799,0.927
26,947,0.9154
26,108,0.6679
26,443,0.9926
32,84,0.902
3,675,0.886
26,383,0.5655
31,996,0.8733
18,809,0.922
18,664,0.9235
14,761,0.9529
10,226,0.503
18,86,0.9215
18,310,0.9265
18,494,0.926
18,905,0.924
18,681,0.924
55,483,0.744
18,802,0.9265
1,318,0.501
16,579,0.8235
18,833,0.9235
18,375,0.8955
26,501,0.8529
18,553,0.9305
26,107,0.8989
31,923,0.88
58,234,0.713
26,945,0.914
